source_audio_path,speaker_cluster_id,segment_start_seconds,segment_end_seconds,diarization_model
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,91.713,96.640,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,97.028,98.092,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,98.463,103.103,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,103.795,106.900,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_01,107.035,107.525,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,107.423,108.571,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,109.043,109.837,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,110.900,113.093,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,112.469,117.818,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,118.156,120.653,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,120.653,123.725,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,123.944,125.902,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,125.632,128.129,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,128.652,131.099,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,132.112,137.225,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,137.377,140.397,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,141.275,145.375,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,145.612,156.800,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_01,148.649,148.717,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_01,148.750,148.852,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,157.441,166.857,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,167.330,167.819,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,168.578,169.861,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,170.553,174.485,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,174.805,176.240,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,176.560,180.104,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,180.458,181.100,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,181.403,181.943,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,181.943,184.357,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,181.994,182.399,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,184.424,192.862,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,193.688,193.925,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,193.773,194.431,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,194.785,207.037,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,207.577,208.319,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,209.298,210.496,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,211.205,218.292,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,218.326,230.459,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,230.797,233.750,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_05,234.796,236.416,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,236.416,239.200,pyannote/speaker-diarization-3.1
/Users/rajeshpmu/Desktop/LegalMemoCMT/data/phase2/tupac/corpus/raw/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo/keefe-d-s-lawyer-cross-exams-ex-suge-knight-security-reggie-wright-abo_DiurriBQxVs.wav,SPEAKER_00,239.656,240.584,pyannote/speaker-diarization-3.1
