utterance_id,face_track_id,frame_time_seconds,audio_energy_score,mouth_motion_score,active_speaker_score
DiurriBQxVs_turn00187,FACE_04,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_06,0.431,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,0.862,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_03,0.862,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_04,0.862,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_06,0.862,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,1.293,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_03,1.293,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_04,1.293,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_06,1.293,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_07,1.293,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,1.724,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_04,1.724,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_06,1.724,0.000000,0.007640,0.024449
DiurriBQxVs_turn00187,FACE_07,1.724,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,2.155,0.000000,0.047869,0.153182
DiurriBQxVs_turn00187,FACE_04,2.155,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_06,2.155,0.000000,0.016641,0.053250
DiurriBQxVs_turn00187,FACE_07,2.155,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_01,2.586,0.000000,0.035393,0.113257
DiurriBQxVs_turn00187,FACE_04,2.586,0.000000,0.063063,0.201801
DiurriBQxVs_turn00187,FACE_06,2.586,0.000000,0.014661,0.046914
DiurriBQxVs_turn00187,FACE_07,2.586,0.000000,0.000000,0.000000
DiurriBQxVs_turn00187,FACE_08,2.586,0.000000,0.000000,0.000000
DiurriBQxVs_turn00191,FACE_00,2.450,0.000000,0.000000,0.000000
DiurriBQxVs_turn00191,FACE_00,2.535,0.000000,0.000000,0.000000
DiurriBQxVs_turn00191,FACE_00,2.619,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_00,1.869,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_01,2.569,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_01,2.686,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_02,3.270,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_03,3.504,0.000000,0.000000,0.000000
DiurriBQxVs_turn00193,FACE_03,3.620,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_00,0.000,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_00,0.291,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_00,0.582,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_00,0.873,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_00,1.165,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_01,3.494,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_02,4.367,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_03,7.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_04,7.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_05,7.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_06,7.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_07,7.861,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_03,8.152,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_04,8.152,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_05,8.152,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_06,8.152,0.000000,0.028531,0.091298
DiurriBQxVs_turn00195,FACE_08,8.152,0.000000,0.000000,0.000000
DiurriBQxVs_turn00195,FACE_03,8.443,0.000000,0.000000,0.000000
